Replication,Elective_App_WT,Elective_Scan_WT,Urgent_Scan_WT,Overtime,Objective_Value
0,19.09819996878748,0.0838880985882936,2.8659295239125133,0.7801444021977665,0.43211637548703014
1,29.102854571368933,0.08318923629080914,2.895215314125926,0.7718302037831616,0.4949218676689656
2,20.697453554891368,0.08289887979166378,2.879410691709318,0.8195199336370153,0.44313364960396007
3,23.219508594589374,0.08267819189417255,2.896538865926284,0.8074999704088923,0.46004901245166674
4,21.218290584905404,0.08362498532574676,2.899322767376139,0.7800429198343465,0.4484463228725793
5,22.87193804635467,0.08332393308478503,2.9596180612082903,0.8622821582379679,0.4649889396165243
6,24.5173013819315,0.0839026833328342,2.8941686174900836,0.7547652070015094,0.46751060858182375
7,24.108160162721646,0.08354706668639567,2.8955058246430005,0.8264698289460761,0.46522382275431146
8,23.91310722921298,0.08402414560948022,2.893461955696461,0.7704032270782462,0.46383569683857284
9,22.142613408418338,0.08377703570407871,2.9261471948389315,0.8193195724205948,0.45692873638141895
10,24.109648647779707,0.08453758860281332,2.8800885893185018,0.7638179279435303,0.46351965663725236
11,24.438598967436885,0.08464986978206362,2.895988814685192,0.7882297874051155,0.46724438596166945
12,20.146691261803188,0.08360265470643999,2.9017918481364293,0.7700611124102009,0.44234209777986033
